ROS2_Clock,Topic_Name,Data_Keys,Value_0
7515552083,/electrical/voltage,voltage_V,26.0425
7516091333,/electrical/current,current_A,-0.8982
7516673250,/electrical/power,power_W,0.0234
7518099750,/electrical/voltage,voltage_V,26.0425
7518659292,/electrical/current,current_A,-0.8905
7519222417,/electrical/power,power_W,0.0234
7520577667,/electrical/voltage,voltage_V,26.0575
7521127583,/electrical/current,current_A,-0.9310
7521698875,/electrical/power,power_W,0.0213
7523095167,/electrical/voltage,voltage_V,26.0362
7523634708,/electrical/current,current_A,-0.8930
7524204417,/electrical/power,power_W,0.0233
7525575667,/electrical/voltage,voltage_V,26.0663
7526128083,/electrical/current,current_A,-0.9080
7526689875,/electrical/power,power_W,0.0235
7528058667,/electrical/voltage,voltage_V,26.0450
7528637042,/electrical/current,current_A,-0.9062
7529178667,/electrical/power,power_W,0.0239
7530648875,/electrical/voltage,voltage_V,26.0425
7531286833,/electrical/current,current_A,-0.8905
7531883792,/electrical/power,power_W,0.0232
7533120583,/electrical/voltage,voltage_V,26.0575
7533768625,/electrical/current,current_A,-0.9105
7534366208,/electrical/power,power_W,0.0236
7535642667,/electrical/voltage,voltage_V,26.0325
7536233208,/electrical/current,current_A,-0.9173
7536853250,/electrical/power,power_W,0.0236
7538149000,/electrical/voltage,voltage_V,26.0488
7538764667,/electrical/current,current_A,-0.8960
7539358333,/electrical/power,power_W,0.0239
7540618208,/electrical/voltage,voltage_V,26.0763
7541210792,/electrical/current,current_A,-0.9173
7541850708,/electrical/power,power_W,0.0237
7543114667,/electrical/voltage,voltage_V,26.0388
7543789208,/electrical/current,current_A,-0.9085
7544371167,/electrical/power,power_W,0.0234
7545632417,/electrical/voltage,voltage_V,26.0175
7546236083,/electrical/current,current_A,-0.9008
7546870292,/electrical/power,power_W,0.0240
7548136292,/electrical/voltage,voltage_V,26.0450
7548736208,/electrical/current,current_A,-0.9028
7549300875,/electrical/power,power_W,0.0236
7550643333,/electrical/voltage,voltage_V,26.0637
7551258708,/electrical/current,current_A,-0.9270
7551858750,/electrical/power,power_W,0.0234
7553147917,/electrical/voltage,voltage_V,26.0488
7553748000,/electrical/current,current_A,-0.9105
7554374500,/electrical/power,power_W,0.0235
7555611542,/electrical/voltage,voltage_V,26.0663
7556207917,/electrical/current,current_A,-0.9175
7556853000,/electrical/power,power_W,0.0235
7558055542,/electrical/voltage,voltage_V,26.0575
7558656958,/electrical/current,current_A,-0.8862
7559247792,/electrical/power,power_W,0.0238
7560605833,/electrical/voltage,voltage_V,26.0637
7561185667,/electrical/current,current_A,-0.9038
7561862542,/electrical/power,power_W,0.0236
7563104958,/electrical/voltage,voltage_V,26.0488
7563696542,/electrical/current,current_A,-0.8972
7564290042,/electrical/power,power_W,0.0210
7565584958,/electrical/voltage,voltage_V,26.0575
7566186292,/electrical/current,current_A,-0.9073
7566843667,/electrical/power,power_W,0.0239
7568102167,/electrical/voltage,voltage_V,26.0663
7568653375,/electrical/current,current_A,-0.9008
7569225833,/electrical/power,power_W,0.0234
7570598958,/electrical/voltage,voltage_V,26.0450
7571173292,/electrical/current,current_A,-0.9110
7571755333,/electrical/power,power_W,0.0234
7573069875,/electrical/voltage,voltage_V,26.0300
7573646375,/electrical/current,current_A,-0.8992
7574211292,/electrical/power,power_W,0.0239
7575577792,/electrical/voltage,voltage_V,26.0613
7576166667,/electrical/current,current_A,-0.9052
7576745917,/electrical/power,power_W,0.0234
7578062417,/electrical/voltage,voltage_V,26.0613
7578650208,/electrical/current,current_A,-0.9052
7579218958,/electrical/power,power_W,0.0238
7580591542,/electrical/voltage,voltage_V,26.0637
7581178458,/electrical/current,current_A,-0.9042
7581774833,/electrical/power,power_W,0.0233
7583145292,/electrical/voltage,voltage_V,26.0425
7583743375,/electrical/current,current_A,-0.9150
7584345458,/electrical/power,power_W,0.0235
7585703625,/electrical/voltage,voltage_V,26.0388
7586261458,/electrical/current,current_A,-0.9002
7586848125,/electrical/power,power_W,0.0244
7588094917,/electrical/voltage,voltage_V,26.0450
7588670750,/electrical/current,current_A,-0.9165
7589249250,/electrical/power,power_W,0.0235
7590604000,/electrical/voltage,voltage_V,26.0488
7591185333,/electrical/current,current_A,-0.9012
7591838042,/electrical/power,power_W,0.0240
7593092333,/electrical/voltage,voltage_V,26.0488
7593675083,/electrical/current,current_A,-0.9085
7594235333,/electrical/power,power_W,0.0235
7595584417,/electrical/voltage,voltage_V,26.0637
7596177583,/electrical/current,current_A,-0.9052
7596752292,/electrical/power,power_W,0.0236
7598114417,/electrical/voltage,voltage_V,26.0488
7598684458,/electrical/current,current_A,-0.8948
7599238667,/electrical/power,power_W,0.0239
7600573750,/electrical/voltage,voltage_V,26.0425
7601145042,/electrical/current,current_A,-0.9105
7601754875,/electrical/power,power_W,0.0235
7603076958,/electrical/voltage,voltage_V,26.0550
7603632417,/electrical/current,current_A,-0.9160
7604173542,/electrical/power,power_W,0.0235
7605581667,/electrical/voltage,voltage_V,26.0450
7606122750,/electrical/current,current_A,-0.8972
7607982750,/electrical/power,power_W,0.0235
7608559208,/electrical/voltage,voltage_V,26.0613
7609162000,/electrical/current,current_A,-0.9002
7609764083,/electrical/power,power_W,0.0237
7610601208,/electrical/voltage,voltage_V,26.0550
7611206292,/electrical/current,current_A,-0.9130
7611866083,/electrical/power,power_W,0.0235
7613070208,/electrical/voltage,voltage_V,26.0450
7613684875,/electrical/current,current_A,-0.9032
7614273333,/electrical/power,power_W,0.0237
7615619375,/electrical/voltage,voltage_V,26.0425
7616214792,/electrical/current,current_A,-0.9098
7616862792,/electrical/power,power_W,0.0240
7618088083,/electrical/voltage,voltage_V,26.0450
7618687625,/electrical/current,current_A,-0.9098
7619281250,/electrical/power,power_W,0.0234
7620571500,/electrical/voltage,voltage_V,26.0388
7621135833,/electrical/current,current_A,-0.8992
7621752208,/electrical/power,power_W,0.0241
7623103167,/electrical/voltage,voltage_V,26.0663
7623754458,/electrical/current,current_A,-0.9073
7624369000,/electrical/power,power_W,0.0234
7625594958,/electrical/voltage,voltage_V,26.0512
7626208542,/electrical/current,current_A,-0.8958
7626864292,/electrical/power,power_W,0.0236
7628080625,/electrical/voltage,voltage_V,26.0550
7628715875,/electrical/current,current_A,-0.9105
7629315625,/electrical/power,power_W,0.0234
7630598792,/electrical/voltage,voltage_V,26.0450
7631193292,/electrical/current,current_A,-0.8237
7631864583,/electrical/power,power_W,0.0230
7633097292,/electrical/voltage,voltage_V,26.0450
7633700375,/electrical/current,current_A,-0.9070
7634292792,/electrical/power,power_W,0.0239
7635605458,/electrical/voltage,voltage_V,26.0575
7636208625,/electrical/current,current_A,-0.9060
7636869458,/electrical/power,power_W,0.0236
7638090625,/electrical/voltage,voltage_V,26.0450
7638649958,/electrical/current,current_A,-0.9155
7639204542,/electrical/power,power_W,0.0235
7640597833,/electrical/voltage,voltage_V,26.0263
7641229708,/electrical/current,current_A,-0.9228
7641830000,/electrical/power,power_W,0.0239
7643080458,/electrical/voltage,voltage_V,26.0388
7643664458,/electrical/current,current_A,-0.9042
7644245875,/electrical/power,power_W,0.0238
7645595708,/electrical/voltage,voltage_V,26.0575
7646170167,/electrical/current,current_A,-0.8905
7646748542,/electrical/power,power_W,0.0235
7648117583,/electrical/voltage,voltage_V,26.0637
7648748625,/electrical/current,current_A,-0.9175
7649345167,/electrical/power,power_W,0.0236
7650613917,/electrical/voltage,voltage_V,26.0425
7651218375,/electrical/current,current_A,-0.8972
7651852292,/electrical/power,power_W,0.0236
7653092833,/electrical/voltage,voltage_V,26.0575
7653675208,/electrical/current,current_A,-0.9125
7654274042,/electrical/power,power_W,0.0236
7655623250,/electrical/voltage,voltage_V,26.0388
7656238708,/electrical/current,current_A,-0.8992
7656926333,/electrical/power,power_W,0.0239
7658130458,/electrical/voltage,voltage_V,26.0550
7659995917,/electrical/current,current_A,-0.9175
7660606375,/electrical/power,power_W,0.0235
7661197125,/electrical/voltage,voltage_V,26.0488
7661864333,/electrical/current,current_A,-0.9160
7662465333,/electrical/power,power_W,0.0233
7663110208,/electrical/voltage,voltage_V,26.0512
7663759208,/electrical/current,current_A,-0.9012
7664378500,/electrical/power,power_W,0.0235
7665616958,/electrical/voltage,voltage_V,26.0425
7666232292,/electrical/current,current_A,-0.9135
7666855792,/electrical/power,power_W,0.0235
7668130792,/electrical/voltage,voltage_V,26.0488
7668762542,/electrical/current,current_A,-0.9002
7669395750,/electrical/power,power_W,0.0235
7670612542,/electrical/voltage,voltage_V,26.0550
7671244583,/electrical/current,current_A,-0.8982
7671864250,/electrical/power,power_W,0.0237
7673158167,/electrical/voltage,voltage_V,26.0425
7673863500,/electrical/current,current_A,-0.9115
7674579208,/electrical/power,power_W,0.0238
7675620333,/electrical/voltage,voltage_V,26.0637
7676244167,/electrical/current,current_A,-0.9193
7676870792,/electrical/power,power_W,0.0235
7678123333,/electrical/voltage,voltage_V,26.0450
7678756208,/electrical/current,current_A,-0.9028
7679374042,/electrical/power,power_W,0.0235
7680638917,/electrical/voltage,voltage_V,26.0388
7681263250,/electrical/current,current_A,-0.9012
7681899417,/electrical/power,power_W,0.0233
7683114208,/electrical/voltage,voltage_V,26.0575
7683688750,/electrical/current,current_A,-0.9223
7684256167,/electrical/power,power_W,0.0235
7685594000,/electrical/voltage,voltage_V,26.0450
7686144542,/electrical/current,current_A,-0.8960
7686737625,/electrical/power,power_W,0.0239
7688081958,/electrical/voltage,voltage_V,26.0575
7688639333,/electrical/current,current_A,-0.9140
7689205583,/electrical/power,power_W,0.0236
7690580792,/electrical/voltage,voltage_V,26.0550
7691118208,/electrical/current,current_A,-0.9110
7691686583,/electrical/power,power_W,0.0244
7693130917,/electrical/voltage,voltage_V,26.0263
7693738500,/electrical/current,current_A,-0.9085
7694287458,/electrical/power,power_W,0.0236
7695616458,/electrical/voltage,voltage_V,26.0550
7696230583,/electrical/current,current_A,-0.9223
7696883417,/electrical/power,power_W,0.0236
7698068042,/electrical/voltage,voltage_V,26.0613
7698641083,/electrical/current,current_A,-0.8965
7699251250,/electrical/power,power_W,0.0240
7700626667,/electrical/voltage,voltage_V,26.0488
7701263583,/electrical/current,current_A,-0.9110
7701861708,/electrical/power,power_W,0.0235
7703154042,/electrical/voltage,voltage_V,26.0450
7703796792,/electrical/current,current_A,-0.9090
7704389125,/electrical/power,power_W,0.0237
7705631292,/electrical/voltage,voltage_V,26.0175
7706246708,/electrical/current,current_A,-0.8935
7706859042,/electrical/power,power_W,0.0237
7708124167,/electrical/voltage,voltage_V,26.0613
7708776167,/electrical/current,current_A,-0.8972
7709371917,/electrical/power,power_W,0.0233
7710623375,/electrical/voltage,voltage_V,26.0512
7711214292,/electrical/current,current_A,-0.9208
7711836125,/electrical/power,power_W,0.0236
7713116250,/electrical/voltage,voltage_V,26.0150
7713775875,/electrical/current,current_A,-0.9032
7714386417,/electrical/power,power_W,0.0238
7715633125,/electrical/voltage,voltage_V,26.0488
7716252458,/electrical/current,current_A,-0.9095
7716958333,/electrical/power,power_W,0.0239
7718105625,/electrical/voltage,voltage_V,26.0237
7718763208,/electrical/current,current_A,-0.9120
7719371167,/electrical/power,power_W,0.0232
7720611292,/electrical/voltage,voltage_V,26.0362
7721207750,/electrical/current,current_A,-0.9008
7721830875,/electrical/power,power_W,0.0240
7723099417,/electrical/voltage,voltage_V,26.0450
7723674792,/electrical/current,current_A,-0.9038
7724267417,/electrical/power,power_W,0.0236
7725592625,/electrical/voltage,voltage_V,26.0512
7726335250,/electrical/current,current_A,-0.8948
7726885000,/electrical/power,power_W,0.0238
7728091208,/electrical/voltage,voltage_V,26.0613
7728661542,/electrical/current,current_A,-0.9135
7729217750,/electrical/power,power_W,0.0236
7730619792,/electrical/voltage,voltage_V,26.0450
7731179000,/electrical/current,current_A,-0.8948
7731741833,/electrical/power,power_W,0.0234
7733101167,/electrical/voltage,voltage_V,26.0575
7733655667,/electrical/current,current_A,-0.9062
7734252375,/electrical/power,power_W,0.0237
7735694125,/electrical/voltage,voltage_V,26.0700
7736283833,/electrical/current,current_A,-0.9062
7736938792,/electrical/power,power_W,0.0237
7738083625,/electrical/voltage,voltage_V,26.0575
7738688292,/electrical/current,current_A,-0.9273
