ROS2_Clock,Topic_Name,Data_Keys,Value_0,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7,Value_8
1776371408757854318,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.143710,-0.074071,9.297962,0.001573,-0.000348,0.001755,-0.001995,0.161760,-0.004882
1776371408759214459,/encoders,"encoder_left,encoder_right",0,347
1776371408760049750,/motor_speed,speed_setting,11
1776371408761161179,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.138959,-0.071672,9.293178,-0.000569,0.000688,0.000674,-0.002007,0.161715,-0.004883
1776371408763133469,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.138959,-0.066913,9.290790,-0.001639,0.001206,0.000134,-0.002020,0.161762,-0.004885
1776371408765934266,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.138959,-0.057394,9.293172,-0.000565,0.000164,0.001751,-0.002006,0.161717,-0.004880
1776371408767268102,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.141335,-0.047886,9.297946,-0.000561,-0.002008,0.001761,-0.002013,0.161761,-0.004879
1776371408771650007,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.141260,-0.040733,9.309862,0.001572,0.000715,0.000678,-0.001996,0.161768,-0.004875
1776371408773438610,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.136509,-0.050232,9.317012,0.000506,-0.001493,-0.000386,-0.001978,0.161723,-0.004873
1776371408777381269,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.131758,-0.059732,9.314617,-0.001633,-0.000968,0.000150,-0.002003,0.161763,-0.004876
1776371408781191923,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.122281,-0.066837,9.309827,0.001578,-0.001997,0.000689,-0.002021,0.161753,-0.004878
1776371408785194168,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.117530,-0.057299,9.307425,-0.000032,0.000134,-0.000397,-0.002010,0.161707,-0.004877
1776371408787881137,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.122281,-0.047800,9.305048,-0.001096,-0.002043,0.000153,-0.001987,0.161746,-0.004872
1776371408789436005,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.124656,-0.040671,9.302666,0.003177,0.000210,0.001215,-0.001996,0.161701,-0.004874
1776371408789934869,/encoders,"encoder_left,encoder_right",0,347
1776371408790416069,/motor_speed,speed_setting,11
1776371408791579692,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.127007,-0.043055,9.300283,-0.000029,-0.000922,0.001223,-0.001947,0.161708,-0.004864
1776371408795227525,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.129382,-0.047824,9.302677,-0.000032,0.000144,0.000142,-0.001995,0.161698,-0.004872
1776371408797059553,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.134133,-0.059741,9.307466,-0.000566,0.000710,0.001751,-0.001949,0.161714,-0.004862
1776371408799147718,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.141260,-0.064529,9.317029,-0.000027,-0.002582,-0.000382,-0.001996,0.161699,-0.004870
1776371408801136808,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.148386,-0.071697,9.321822,-0.000563,-0.001491,0.000150,-0.002040,0.161720,-0.004877
1776371408805146765,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.153137,-0.071716,9.326606,-0.001098,-0.000955,0.000147,-0.001993,0.161709,-0.004869
1776371408808061934,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.148386,-0.071697,9.319436,-0.001631,-0.000399,0.001219,-0.002087,0.161746,-0.004881
1776371408811993744,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.143635,-0.064539,9.312264,0.001579,-0.002004,0.000151,-0.002038,0.161729,-0.004873
1776371408815487364,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.143635,-0.057400,9.297946,0.001034,0.001227,-0.000939,-0.002023,0.161742,-0.004876
1776371408817532360,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.153137,-0.047920,9.295582,-0.000565,-0.000968,-0.000927,-0.002059,0.161762,-0.004883
1776371408819251521,/encoders,"encoder_left,encoder_right",0,347
1776371408820023034,/motor_speed,speed_setting,11
1776371408822061086,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.157888,-0.040800,9.293205,0.000510,-0.002521,0.002306,-0.002042,0.161804,-0.004878
1776371408823139394,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.155537,-0.038416,9.293201,-0.001626,-0.003061,0.003918,-0.002004,0.161828,-0.004866
1776371408825810330,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.150786,-0.040776,9.293191,-0.000026,-0.002001,0.001223,-0.002051,0.161811,-0.004872
1776371408827606742,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.141285,-0.052636,9.297942,0.002643,-0.000897,0.000141,-0.002005,0.161834,-0.004865
1776371408831730206,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.136534,-0.062135,9.305090,0.001032,0.002349,0.000662,-0.002050,0.161821,-0.004872
1776371408833437783,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.136584,-0.062144,9.307482,-0.001101,0.000179,0.002280,-0.002004,0.161835,-0.004862
1776371408835407416,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.143710,-0.057414,9.312270,0.003172,-0.000376,-0.001481,-0.002048,0.161825,-0.004872
1776371408837442140,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.141335,-0.052645,9.309875,0.001026,0.002843,-0.002034,-0.002002,0.161847,-0.004867
1776371408841518819,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.138959,-0.047876,9.312254,0.001032,-0.000970,-0.002550,-0.002044,0.161821,-0.004878
1776371408843450115,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.131833,-0.050227,9.309851,-0.000035,-0.000944,-0.000399,-0.001998,0.161838,-0.004871
1776371408847339588,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.131833,-0.050227,9.314622,-0.000572,0.000688,0.000130,-0.002042,0.161817,-0.004877
1776371408849300101,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.136584,-0.050246,9.314634,-0.000039,0.000675,-0.000945,-0.001996,0.161833,-0.004871
1776371408849818102,/encoders,"encoder_left,encoder_right",0,347
1776371408850307142,/motor_speed,speed_setting,11
1776371408851126465,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.143710,-0.050275,9.314652,0.001033,-0.000386,-0.000401,-0.002042,0.161818,-0.004879
1776371408853015520,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.155587,-0.052702,9.309913,0.002097,0.001801,-0.000413,-0.002006,0.161855,-0.004875
1776371408855022466,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.157963,-0.050332,9.312304,0.000501,-0.001450,0.001217,-0.002053,0.161862,-0.004881
1776371408859169516,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.162714,-0.047972,9.309929,-0.001636,-0.002022,0.001220,-0.002011,0.161881,-0.004872
1776371408861149710,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.153212,-0.047933,9.312291,-0.000570,-0.000940,0.000138,-0.002012,0.161927,-0.004872
1776371408863116527,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.148461,-0.045535,9.317049,-0.001106,0.000702,0.001205,-0.002004,0.161882,-0.004869
1776371408865084944,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.141335,-0.043126,9.317030,0.000498,0.000724,0.001204,-0.001987,0.161927,-0.004865
1776371408869109589,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.136584,-0.040728,9.319402,0.001031,0.000711,0.000128,-0.001989,0.161881,-0.004865
1776371408871106456,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.138959,-0.040737,9.317022,-0.000567,-0.002027,0.000143,-0.001958,0.161914,-0.004860
1776371408873067673,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.138959,-0.040737,9.314636,0.001035,-0.000897,0.001211,-0.001979,0.161871,-0.004862
1776371408875174750,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.141335,-0.043126,9.312259,0.000498,-0.000955,-0.001476,-0.001950,0.161909,-0.004859
1776371408877317573,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.143710,-0.043136,9.314650,-0.000573,0.000127,-0.000943,-0.001970,0.161866,-0.004864
1776371408879814584,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.146085,-0.040766,9.319427,-0.001108,0.000109,-0.001480,-0.001943,0.161904,-0.004860
1776371408880346250,/encoders,"encoder_left,encoder_right",0,347
1776371408880854491,/motor_speed,speed_setting,11
1776371408885504021,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.148461,-0.038396,9.319431,-0.000036,0.000748,0.002816,-0.001905,0.161875,-0.004851
1776371408886632826,/odom,"pos_x,pos_y,orient_z",0.0017,-0.0000,0.0025
1776371408887604378,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.146085,-0.038386,9.314653,0.001030,0.000702,-0.000411,-0.001885,0.161890,-0.004846
1776371408891245619,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.136584,-0.045487,9.314632,-0.000574,0.000679,-0.000410,-0.001928,0.161916,-0.004853
